,Items
0.0 to 1.0,72
1.0 to 2.0,53
2.0 to 3.0,34
3.0 to 4.0,25
4.0 to 5.0,22
5.0 to 6.0,19
6.0 to 7.0,26
7.0 to 8.0,30
8.0 to 9.0,39
9.0 to 10.0,21
10.0 to 11.0,19
11.0 to 12.0,25
12.0 to 13.0,24
13.0 to 14.0,29
14.0 to 15.0,60
15.0 to 16.0,36
16.0 to 17.0,17
17.0 to 18.0,16
18.0 to 19.0,21
19.0 to 20.0,18
20.0 to 21.0,20
21.0 to 22.0,22
22.0 to 23.0,18
23.0 to 24.0,15
24.0 to 25.0,23
25.0 to 26.0,10
26.0 to 27.0,10
27.0 to 28.0,14
28.0 to 29.0,20
29.0 to 30.0,14
30.0 to 31.0,12
31.0 to 32.0,13
32.0 to 33.0,8
33.0 to 34.0,7
34.0 to 35.0,14
35.0 to 36.0,13
36.0 to 37.0,6
37.0 to 38.0,6
38.0 to 39.0,9
39.0 to 40.0,4
40.0 to 41.0,5
41.0 to 42.0,11
42.0 to 43.0,19
43.0 to 44.0,20
44.0 to 45.0,5
45.0 to 46.0,4
46.0 to 47.0,3
47.0 to 48.0,3
48.0 to 49.0,7
49.0 to 50.0,9
50.0 to 51.0,10
51.0 to 52.0,3
52.0 to 53.0,7
53.0 to 54.0,3
54.0 to 55.0,5
55.0 to 56.0,10
56.0 to 57.0,7
57.0 to 58.0,8
58.0 to 59.0,7
59.0 to 60.0,2
60.0 to 61.0,0
61.0 to 62.0,1
62.0 to 63.0,4
63.0 to 64.0,1
64.0 to 65.0,7
65.0 to 66.0,1
66.0 to 67.0,5
67.0 to 68.0,1
68.0 to 69.0,1
69.0 to 70.0,5
70.0 to 71.0,3
71.0 to 72.0,6
72.0 to 73.0,6
73.0 to 74.0,2
74.0 to 75.0,2
75.0 to 76.0,0
76.0 to 77.0,3
77.0 to 78.0,8
78.0 to 79.0,5
79.0 to 80.0,0
80.0 to 81.0,1
81.0 to 82.0,3
82.0 to 83.0,0
83.0 to 84.0,3
84.0 to 85.0,2
85.0 to 86.0,3
86.0 to 87.0,2
87.0 to 88.0,2
88.0 to 89.0,5
89.0 to 90.0,3
90.0 to 91.0,1
91.0 to 92.0,1
92.0 to 93.0,0
93.0 to 94.0,3
94.0 to 95.0,0
95.0 to 96.0,0
96.0 to 97.0,0
97.0 to 98.0,3
98.0 to 99.0,3
99.0 to 100.0,2
100.0 to 101.0,1
101.0 to 102.0,1
102.0 to 103.0,1
103.0 to 104.0,0
104.0 to 105.0,2
105.0 to 106.0,3
106.0 to 107.0,4
107.0 to 108.0,0
108.0 to 109.0,0
109.0 to 110.0,2
110.0 to 111.0,1
111.0 to 112.0,0
112.0 to 113.0,2
113.0 to 114.0,0
114.0 to 115.0,0
115.0 to 116.0,0
116.0 to 117.0,1
117.0 to 118.0,1
118.0 to 119.0,0
119.0 to 120.0,3
120.0 to 121.0,0
121.0 to 122.0,0
122.0 to 123.0,2
123.0 to 124.0,0
124.0 to 125.0,0
