completed_date,cycle_time,blocked_days,key,url,issue_type,summary,status,resolution,Backlog,Committed,Elaboration,Build,QA,Done
2019-12-06,22.0,0,FAB-24399,https://immediateco.atlassian.net/browse/FAB-24399,Bug,Reactions/ReadFeed - Remove Postgres service from docker-compose.yml breaks PHP-FPM,Ready For Release,Done,2019-11-14,2019-11-14,2019-11-19,2019-12-06,2019-12-06,2019-12-06
2019-11-11,3.0,0,FAB-24396,https://immediateco.atlassian.net/browse/FAB-24396,Sub-Task,Style the buttons,Complete,Done,,,2019-11-08,2019-11-11,,2019-11-11
2019-11-06,1.0,0,FAB-24394,https://immediateco.atlassian.net/browse/FAB-24394,Sub-Task,Style the ProfileDetails molecule,Complete,Done,,,,2019-11-05,,2019-11-06
2019-11-06,1.0,0,FAB-24388,https://immediateco.atlassian.net/browse/FAB-24388,Bug (subtask),Firefox/Safari - Pressing Tab while on page is never selecting megamenu,Closed,Done,,,,2019-11-05,2019-11-05,2019-11-06
2019-12-04,19.0,0,FAB-24383,https://immediateco.atlassian.net/browse/FAB-24383,Story,Reactions/NonHeadless - Surface on Non-headless post types,Closed,Done,2019-11-15,2019-11-15,,,,2019-12-04
2019-12-04,1.0,0,FAB-24382,https://immediateco.atlassian.net/browse/FAB-24382,Spike,Reactions/NonHeadless - Investigate Surfacing ReactJS Component on Non-headless post types,Closed,Done,2019-12-03,2019-12-03,2019-12-03,,,2019-12-04
2019-11-11,6.0,0,FAB-24377,https://immediateco.atlassian.net/browse/FAB-24377,Sub-Task,[SPIKE] Research - api-platform.com docs - advanced techniques and overriding behaviour,Complete,Done,,,,2019-11-05,,2019-11-11
2019-11-06,2.0,0,FAB-24371,https://immediateco.atlassian.net/browse/FAB-24371,Sub-Task,"[SPIKE] Research - MongoDB (relationships?), feasibility of GraphQL",Complete,Done,,,,2019-11-04,,2019-11-06
2019-11-12,8.0,0,FAB-24369,https://immediateco.atlassian.net/browse/FAB-24369,Sub-Task,Write API backend tests (PHPUnit),Complete,Done,,,2019-11-04,,,2019-11-12
2019-11-12,8.0,0,FAB-24368,https://immediateco.atlassian.net/browse/FAB-24368,Sub-Task,Source/Create test data for mocking,Complete,Done,,,,2019-11-04,,2019-11-12
2019-11-06,2.0,0,FAB-24362,https://immediateco.atlassian.net/browse/FAB-24362,Sub-Task,Get up to speed with current state of codebase,Complete,Done,,,,2019-11-04,,2019-11-06
2019-11-06,2.0,0,FAB-24361,https://immediateco.atlassian.net/browse/FAB-24361,Story,Webpack config for [im-gf-static-components] plugin,Closed,Done,2019-11-04,2019-11-04,2019-11-04,,,2019-11-06
2019-11-11,7.0,0,FAB-24358,https://immediateco.atlassian.net/browse/FAB-24358,Story,GF/Mig - Test Migration of content going into Article ,Ready For Release,Done,2019-11-04,2019-11-04,2019-11-04,2019-11-11,2019-11-11,2019-11-11
2019-12-06,32.0,0,FAB-24351,https://immediateco.atlassian.net/browse/FAB-24351,Story,Logo on header should lead to homepage,Closed,Done,2019-11-04,2019-11-04,,,,2019-12-06
2019-11-06,2.0,0,FAB-24348,https://immediateco.atlassian.net/browse/FAB-24348,Bug (subtask),Edge - Keyboard navigation can not navigate to next menu item,Closed,Done,,,,,2019-11-04,2019-11-06
2019-11-08,4.0,0,FAB-24347,https://immediateco.atlassian.net/browse/FAB-24347,Bug (subtask),Other child items are incorrectly appearing when scrolling down,Ready For Release,Done,,,,2019-11-04,2019-11-05,2019-11-08
2019-11-12,8.0,0,FAB-24346,https://immediateco.atlassian.net/browse/FAB-24346,Story,Custom source repo for CI/CD,Ready For Release,Done,2019-11-04,2019-11-04,2019-11-04,2019-11-04,2019-11-06,2019-11-12
2019-11-14,10.0,0,FAB-24329,https://immediateco.atlassian.net/browse/FAB-24329,Story,Create static markup compiler,Ready For Release,Done,2019-11-04,2019-11-04,2019-11-04,2019-11-04,2019-11-12,2019-11-14
2019-12-09,32.0,0,FAB-24328,https://immediateco.atlassian.net/browse/FAB-24328,Story,Reactions/ReadFeed - Display Reactions/Replies in Feed on Standalone,Ready For Release,Done,2019-11-07,2019-11-07,2019-11-27,2019-12-03,2019-12-06,2019-12-09
2019-11-12,8.0,0,FAB-24326,https://immediateco.atlassian.net/browse/FAB-24326,Story,Create header and footer data provider package,Ready For Release,Done,2019-11-04,2019-11-04,2019-11-04,2019-11-06,2019-11-07,2019-11-12
2019-11-14,10.0,7,FAB-24321,https://immediateco.atlassian.net/browse/FAB-24321,Story,Create php plugin to enable static components,Ready For Release,Done,2019-11-04,2019-11-04,2019-11-04,2019-11-04,2019-11-07,2019-11-14
2019-11-13,12.0,0,FAB-24320,https://immediateco.atlassian.net/browse/FAB-24320,Story,Reactions/ReadFeed - Provide Reactions data via API for Display,Ready For Release,Done,2019-11-01,2019-11-01,2019-11-01,2019-11-06,2019-11-12,2019-11-13
2019-11-26,25.0,0,FAB-24318,https://immediateco.atlassian.net/browse/FAB-24318,Story,Reactions/ReadFeed/Pag - Add and Style 'Show more' Reactions Paginator to Storybook,Ready For Release,Done,2019-11-01,2019-11-01,2019-11-05,2019-11-21,2019-11-25,2019-11-26
2019-11-04,3.0,0,FAB-24316,https://immediateco.atlassian.net/browse/FAB-24316,Bug (subtask),IE11 - Mobile menu does not close when logo is clicked,Closed,Done,,,2019-11-01,,,2019-11-04
2019-11-04,3.0,0,FAB-24313,https://immediateco.atlassian.net/browse/FAB-24313,Bug (subtask),Mobile menu incorrect tab index order,Closed,Done,,,2019-11-01,,,2019-11-04
2019-11-04,3.0,0,FAB-24312,https://immediateco.atlassian.net/browse/FAB-24312,Bug (subtask),Multiple highlighted menu items,Closed,Done,,,2019-11-01,,,2019-11-04
2019-11-06,5.0,0,FAB-24310,https://immediateco.atlassian.net/browse/FAB-24310,Bug (subtask),IE11 - Keyboard navigation can not jump to next menu item,Closed,Done,,,,,2019-11-01,2019-11-06
2019-11-15,14.0,0,FAB-24309,https://immediateco.atlassian.net/browse/FAB-24309,Story,GF/Mig - Update Taxonomy Hierarchy,Ready For Release,Done,2019-11-01,2019-11-01,2019-11-01,2019-11-12,2019-11-15,2019-11-15
2019-11-04,3.0,0,FAB-24308,https://immediateco.atlassian.net/browse/FAB-24308,Bug (subtask),"JS disabled Keyboard navigation does not work
",Closed,Done,,,2019-11-01,,,2019-11-04
2019-11-04,3.0,0,FAB-24306,https://immediateco.atlassian.net/browse/FAB-24306,Bug (subtask),Slim menu when JS is disabled on IE11,Closed,Done,,,2019-11-01,,,2019-11-04
2019-11-11,10.0,0,FAB-24305,https://immediateco.atlassian.net/browse/FAB-24305,Story,GF/Mig - Migrate List Schema Options,Ready For Release,Done,2019-11-01,2019-11-01,2019-11-01,2019-11-05,2019-11-08,2019-11-11
2019-10-31,0.0,0,FAB-24291,https://immediateco.atlassian.net/browse/FAB-24291,Bug (subtask),Firefox: Truncated text when JS is disabled,Closed,Done,,,,,2019-10-31,2019-10-31
2019-10-31,0.0,0,FAB-24290,https://immediateco.atlassian.net/browse/FAB-24290,Bug (subtask),(Storybook) Submenu items with long names are truncated without '...',Closed,Done,,,,,2019-10-31,2019-10-31
2019-11-05,5.0,0,FAB-24288,https://immediateco.atlassian.net/browse/FAB-24288,Bug (subtask),Parent menu item isn't highlighted while navigating through child submenu,Ready For Release,Done,,,,2019-10-31,2019-10-31,2019-11-05
2019-11-15,15.0,0,FAB-24284,https://immediateco.atlassian.net/browse/FAB-24284,Story,Reactions/ReadFeed - Style Reply in Storybook,Ready For Release,Done,2019-10-31,2019-10-31,2019-11-01,2019-11-13,2019-11-14,2019-11-15
2019-11-08,4.0,0,FAB-24282,https://immediateco.atlassian.net/browse/FAB-24282,Bug (subtask),Overflow when last item of the mega menu expand,Ready For Release,Done,,,,2019-11-04,2019-11-05,2019-11-08
2019-11-21,21.0,0,FAB-24281,https://immediateco.atlassian.net/browse/FAB-24281,Story,Reactions/ReadFeed - Display Reactions Standalone,Ready For Release,Done,2019-10-31,2019-10-31,2019-11-01,2019-11-18,2019-11-21,2019-11-21
2019-11-13,13.0,0,FAB-24279,https://immediateco.atlassian.net/browse/FAB-24279,Story,Reactions/ReadFeed - Style Reaction in Storybook,Ready For Release,Done,2019-10-31,2019-10-31,2019-10-31,2019-11-05,2019-11-12,2019-11-13
2019-11-20,20.0,0,FAB-24273,https://immediateco.atlassian.net/browse/FAB-24273,Story,Create 'Site Config' settings Resource,Complete,Done,2019-10-31,2019-10-31,2019-11-12,2019-11-18,2019-11-20,2019-11-20
2019-10-31,0.0,0,FAB-24262,https://immediateco.atlassian.net/browse/FAB-24262,Bug (subtask),Recipe Tips overlap content below,Ready For Release,Done,,,,2019-10-31,2019-10-31,2019-10-31
2019-11-19,7.0,0,FAB-24254,https://immediateco.atlassian.net/browse/FAB-24254,Story,MyHub: Add header and footer,Ready For Release,Done,2019-11-12,2019-11-12,2019-11-12,2019-11-18,2019-11-18,2019-11-19
2019-11-19,12.0,0,FAB-24253,https://immediateco.atlassian.net/browse/FAB-24253,Story,MyHub: Basic infrastructure,Ready For Release,Done,2019-11-07,2019-11-07,2019-11-07,2019-11-18,2019-11-18,2019-11-19
2019-11-19,12.0,0,FAB-24252,https://immediateco.atlassian.net/browse/FAB-24252,Story,MyHub: Setup initial application,Ready For Release,Done,2019-11-07,2019-11-07,2019-11-07,2019-11-18,2019-11-18,2019-11-19
2019-10-31,1.0,0,FAB-24245,https://immediateco.atlassian.net/browse/FAB-24245,Bug (subtask),mobile nav menu - last green menu items are not reachable,Ready For Release,Done,,,,2019-10-30,2019-10-30,2019-10-31
2019-10-31,0.0,0,FAB-24244,https://immediateco.atlassian.net/browse/FAB-24244,Bug (subtask),Hovering mouse over menu items causes background to flicker between grey and white,Closed,Done,,,,2019-10-31,2019-10-31,2019-10-31
2019-10-31,1.0,0,FAB-24242,https://immediateco.atlassian.net/browse/FAB-24242,Bug (subtask),Keyboard Navigation - Pressing Esc is not closing menuitem,Closed,Done,,,,2019-10-30,2019-10-30,2019-10-31
2019-10-31,1.0,0,FAB-24241,https://immediateco.atlassian.net/browse/FAB-24241,Bug (subtask),Change character limit for truncated menu items on mobile nav,Closed,Done,,,,2019-10-30,2019-10-31,2019-10-31
2019-10-31,1.0,0,FAB-24239,https://immediateco.atlassian.net/browse/FAB-24239,Bug (subtask),Non-JS keyboard navigation cannot get main nav to display on desktop,Closed,Done,,,2019-10-30,,,2019-10-31
2019-11-28,27.0,0,FAB-24232,https://immediateco.atlassian.net/browse/FAB-24232,Epic,Static Header and Footer across WP and Headless,Ready For Release,Done,2019-11-01,2019-11-01,2019-11-06,2019-11-06,,2019-11-28
