ID,Link,Name,Backlog,Committed,Elaboration,Build,QA,Done,Type,Status,Resolution,Blocked Days
FAB-21073,https://immediateco.atlassian.net/browse/FAB-21073,My GF | Summarise Feedback from Survey for My Good Food,2019-05-31,,,,,2019-09-09,Discovery Research,Closed,Done,0
FAB-21072,https://immediateco.atlassian.net/browse/FAB-21072,Components : User Recipe,2019-06-17,2019-11-21,2019-11-26,2019-12-05,,,Story,In Progress,,0
FAB-21066,https://immediateco.atlassian.net/browse/FAB-21066,Components : Masthead - User,2019-05-31,2019-11-21,2019-11-26,,,,Story,Ready For Development,,0
FAB-21043,https://immediateco.atlassian.net/browse/FAB-21043,GF/Mig/EdRec - Transform Data using IFT ready for SXS Recipe,,,2019-06-27,2019-08-19,,2019-10-02,Epic,Ready For Release,Done,0
FAB-21035,https://immediateco.atlassian.net/browse/FAB-21035,GF/Mig/EdRec - Extract Data,,2019-06-03,2019-06-06,2019-06-06,,2019-06-26,Epic,Ready For Release,Done,0
FAB-21015,https://immediateco.atlassian.net/browse/FAB-21015,Display of User Recipes,,2019-05-29,2019-12-03,,,,Epic,Ready For Development,,0
FAB-21014,https://immediateco.atlassian.net/browse/FAB-21014,User : Populate with API data,2019-11-21,,,,,,Story,Preparation,,0
FAB-20999,https://immediateco.atlassian.net/browse/FAB-20999,Embed/Widget : Brightcove Embed,2019-06-05,2019-06-05,2019-06-05,2019-10-21,2019-10-30,2019-11-12,Story,Ready For Release,Done,0
FAB-20981,https://immediateco.atlassian.net/browse/FAB-20981,Seasonal calendar,,,2019-05-28,2019-10-24,,,Epic,In Progress,,0
FAB-20980,https://immediateco.atlassian.net/browse/FAB-20980,Seasonal calendar UX,2019-07-01,2019-07-01,2019-07-01,2019-10-31,2019-10-31,2019-10-31,UX Story,Complete,Done,0
FAB-20948,https://immediateco.atlassian.net/browse/FAB-20948,Reactions - Admin Dashboard,,,,2019-05-24,,,Epic,In Progress,,0
FAB-20946,https://immediateco.atlassian.net/browse/FAB-20946,Recipe : Basic Ads,,2019-06-12,2019-07-30,2019-08-20,,2019-08-21,Epic,Complete,Done,0
FAB-20929,https://immediateco.atlassian.net/browse/FAB-20929,Square image div fix on widgets,2019-09-26,2019-09-30,2019-09-30,2019-10-21,2019-10-29,2019-10-30,Story,Complete,Done,0
FAB-20792,https://immediateco.atlassian.net/browse/FAB-20792,Good food search ,2019-09-18,2019-10-23,2019-11-13,2019-11-26,,,Epic,In Progress,,0
FAB-20787,https://immediateco.atlassian.net/browse/FAB-20787,Headless recipes in search for GF,2019-05-16,2019-05-16,,,,,Story,Ready For Shaping,,0
